value	symbol1	symbol2	class1	class2
4.251657003242251	CREM	CREB1	Basic leucine zipper factors (bZIP)	Basic leucine zipper factors (bZIP)
4.250762042895263	MAFF	MAFG	Basic leucine zipper factors (bZIP)	Basic leucine zipper factors (bZIP)
4.233814637330284	E2F4	E2F1	Fork head / winged helix factors	Fork head / winged helix factors
4.229519188724461	LHX9	LHX2	Homeo domain factors	Homeo domain factors
4.228593016536119	MESP2	MESP1	Basic helix-loop-helix factors (bHLH)	Basic helix-loop-helix factors (bHLH)
4.224492953834761	NPAS2	CLOCK	Basic helix-loop-helix factors (bHLH)	Basic helix-loop-helix factors (bHLH)
4.218937213959336	PAX1	PAX9	Paired box factors	Paired box factors
4.213741305596188	GATA5	GATA4	Other C4 zinc finger-type factors	Other C4 zinc finger-type factors
4.2134887662627	SREBF2	SREBF1	Basic helix-loop-helix factors (bHLH)	Basic helix-loop-helix factors (bHLH)
4.20320315595224	NFKB2	NFKB1	Rel homology region (RHR) factors	Rel homology region (RHR) factors
4.195441588744245	LHX6	LHX8	Homeo domain factors	Homeo domain factors
4.179778693090909	NR4A2	NR4A1	Nuclear receptors with C4 zinc fingers	Nuclear receptors with C4 zinc fingers
4.177951388185797	HESX1	PROP1	Homeo domain factors	Homeo domain factors
4.17246118978913	SOX17	SOX7	High-mobility group (HMG) domain factors	High-mobility group (HMG) domain factors
4.171865506588426	NFIX	NFIB	SMAD/NF-1 DNA-binding domain factors	SMAD/NF-1 DNA-binding domain factors
4.161364769027175	GFI1B	GFI1	C2H2 zinc finger factors	C2H2 zinc finger factors
4.160086975400113	NR2E3	NRL	Nuclear receptors with C4 zinc fingers	Basic leucine zipper factors (bZIP)
4.154666046723663	SIM2	SIM1	Basic helix-loop-helix factors (bHLH)	Basic helix-loop-helix factors (bHLH)
4.152561395369257	SIX6	SIX3	Homeo domain factors	Homeo domain factors
4.147577697131636	SIX2	SIX1	Homeo domain factors	Homeo domain factors
4.14155835986361	SPI1	GATA1	Tryptophan cluster factors	Other C4 zinc finger-type factors
4.141189221759076	EGR2	EGR3	C2H2 zinc finger factors	C2H2 zinc finger factors
4.119766756427382	EOMES	TBX21	T-Box factors	T-Box factors
4.117568827208029	CDX4	CDX1	Homeo domain factors	Homeo domain factors
4.114091840211172	FOXD3	SOX10	Fork head / winged helix factors	High-mobility group (HMG) domain factors
4.101721159791905	SOX3	SOX2	High-mobility group (HMG) domain factors	High-mobility group (HMG) domain factors
4.085893785642938	MITF	SOX10	Basic helix-loop-helix factors (bHLH)	High-mobility group (HMG) domain factors
4.081118341806334	SIX5	SIX4	Homeo domain factors	Homeo domain factors
4.076354545376605	RBPJ	HES1	Rel homology region (RHR) factors	Basic helix-loop-helix factors (bHLH)
4.072052352763254	TBR1	PAX6	T-Box factors	Paired box factors
4.068564236083779	SALL1	SIX2	C2H2 zinc finger factors	Homeo domain factors
4.067831665278394	RARA	RARB	Nuclear receptors with C4 zinc fingers	Nuclear receptors with C4 zinc fingers
4.063730248809736	GBX1	GBX2	Homeo domain factors	Homeo domain factors
4.061564081201201	RARG	RARA	Nuclear receptors with C4 zinc fingers	Nuclear receptors with C4 zinc fingers
4.044735954122218	NFATC3	NFATC4	Rel homology region (RHR) factors	Rel homology region (RHR) factors
4.043434918873248	ATOH7	POU4F2	Basic helix-loop-helix factors (bHLH)	Homeo domain factors
4.03745478321382	HOXA9	MEIS1	Homeo domain factors	Homeo domain factors
4.026921558969505	MXI1	MAX	Basic helix-loop-helix factors (bHLH)	Basic helix-loop-helix factors (bHLH)
4.0243812740312634	SRY	SOX9	High-mobility group (HMG) domain factors	High-mobility group (HMG) domain factors
4.020722753664459	ZFY	ZFX	Uncharacterized	C2H2 zinc finger factors
4.003439664936848	ISL2	ISL1	Homeo domain factors	Homeo domain factors
4.0001632112356305	ZIC4	ZIC1	C2H2 zinc finger factors	C2H2 zinc finger factors
3.999257982714262	LHX5	LHX1	Homeo domain factors	Homeo domain factors
3.9980402773081747	PPARG	PPARA	Nuclear receptors with C4 zinc fingers	Nuclear receptors with C4 zinc fingers
3.9926785721921214	ARNT2	ARNT	Basic helix-loop-helix factors (bHLH)	Basic helix-loop-helix factors (bHLH)
3.9906690553755264	HOXB3	HOXA3	Homeo domain factors	Homeo domain factors
3.9788762157157285	NKX2-2	OLIG2	Homeo domain factors	Basic helix-loop-helix factors (bHLH)
3.973174756983613	NR1D1	CLOCK	Nuclear receptors with C4 zinc fingers	Basic helix-loop-helix factors (bHLH)
3.9700654649554905	TGIF1	TGIF2	Homeo domain factors	Homeo domain factors
3.9675999274622553	TWIST1	TWIST2	Basic helix-loop-helix factors (bHLH)	Basic helix-loop-helix factors (bHLH)
3.9633908996959244	FOXF2	FOXF1	Fork head / winged helix factors	Fork head / winged helix factors
3.95887927758037	OSR1	OSR2	C2H2 zinc finger factors	C2H2 zinc finger factors
3.9541108025927314	ZIC3	ZIC1	C2H2 zinc finger factors	C2H2 zinc finger factors
3.941209983672301	RFX1	RFX2	Fork head / winged helix factors	Fork head / winged helix factors
3.940203323604306	HMX2	HMX3	Homeo domain factors	Homeo domain factors
3.926280115151256	GATA3	GATA2	Other C4 zinc finger-type factors	Other C4 zinc finger-type factors
3.9131978727572747	HOXA2	HOXB2	Homeo domain factors	Homeo domain factors
3.90622031473282	NR1I2	NR1I3	Nuclear receptors with C4 zinc fingers	Nuclear receptors with C4 zinc fingers
3.897033056220924	KLF4	SOX2	C2H2 zinc finger factors	High-mobility group (HMG) domain factors
3.890969264842509	HOXA7	HOXA9	Homeo domain factors	Homeo domain factors
3.880640548023312	PAX5	EBF1	Paired box factors	Rel homology region (RHR) factors
3.8795500262141043	MNT	MAX	Basic helix-loop-helix factors (bHLH)	Basic helix-loop-helix factors (bHLH)
3.875802847975724	SP8	GSX2	C2H2 zinc finger factors	Homeo domain factors
3.873966903143237	MYF6	MYF5	Basic helix-loop-helix factors (bHLH)	Basic helix-loop-helix factors (bHLH)
3.8698560059061036	FOXL2	SOX9	Fork head / winged helix factors	High-mobility group (HMG) domain factors
3.867516578384729	SP4	SP3	C2H2 zinc finger factors	C2H2 zinc finger factors
3.8571341259957532	TBX20	TBX2	T-Box factors	T-Box factors
3.8421188086155134	ATF1	CREB1	Basic leucine zipper factors (bZIP)	Basic leucine zipper factors (bZIP)
3.8395141039816023	ETS2	ETS1	Tryptophan cluster factors	Tryptophan cluster factors
3.8262436541743825	HOXA11	HOXA13	Homeo domain factors	Homeo domain factors
3.821465934291154	NKX2-1	PAX8	Homeo domain factors	Paired box factors
3.8158863931792473	EGR1	EGR2	C2H2 zinc finger factors	C2H2 zinc finger factors
3.809034320632756	HOXD10	HOXD11	Homeo domain factors	Homeo domain factors
3.7982124005135467	ATF2	JUN	Basic leucine zipper factors (bZIP)	Basic leucine zipper factors (bZIP)
3.7951072843613303	GRHL1	GRHL3	Grainyhead	Grainyhead
3.7926623133346267	PROX1	PAX6	Homeo domain factors	Paired box factors
3.7888716628293664	FOXN1	GCM2	Fork head / winged helix factors	GCM domain factors
3.7860786241268465	ERG	ETV1	Tryptophan cluster factors	Tryptophan cluster factors
3.785757102399108	VAX2	VAX1	Homeo domain factors	Homeo domain factors
3.7845868210201865	FLI1	ERG	Tryptophan cluster factors	Tryptophan cluster factors
3.7807101371539242	DBP	CLOCK	Basic leucine zipper factors (bZIP)	Basic helix-loop-helix factors (bHLH)
3.779215797311304	IRF5	STAT4	Tryptophan cluster factors	STAT domain factors
3.7769586177889547	SOX12	SOX11	High-mobility group (HMG) domain factors	High-mobility group (HMG) domain factors
3.7665457759911374	ALX3	ALX4	Homeo domain factors	Homeo domain factors
3.760148686983724	HES7	MESP2	Basic helix-loop-helix factors (bHLH)	Basic helix-loop-helix factors (bHLH)
3.750970282636008	MEF2B	MEF2C	MADS box factors	MADS box factors
3.75020844183913	RFX3	RFX1	Fork head / winged helix factors	Fork head / winged helix factors
3.7433616566538923	KLF5	KLF4	C2H2 zinc finger factors	C2H2 zinc finger factors
3.7386772909763164	ATOH1	NEUROG1	Basic helix-loop-helix factors (bHLH)	Basic helix-loop-helix factors (bHLH)
3.728065370654686	ONECUT2	ONECUT1	Homeo domain factors	Homeo domain factors
3.727208811335463	SKI	SMAD3	Uncharacterized	SMAD/NF-1 DNA-binding domain factors
3.719226168843186	IRF4	IRF8	Tryptophan cluster factors	Tryptophan cluster factors
3.714517354711507	PITX1	PITX2	Homeo domain factors	Homeo domain factors
3.712375854103889	HES3	HES5	Basic helix-loop-helix factors (bHLH)	Basic helix-loop-helix factors (bHLH)
3.7058613980216233	MEIS2	PBX1	Homeo domain factors	Homeo domain factors
3.703360211801883	VSX2	PAX6	Homeo domain factors	Paired box factors
3.690236528022249	SALL4	SALL1	C2H2 zinc finger factors	C2H2 zinc finger factors
3.677472444933756	GRHL2	GRHL1	Grainyhead	Grainyhead
3.677432094717068	IRF2	IRF1	Tryptophan cluster factors	Tryptophan cluster factors
3.6768748962776296	RAX	SIX3	Homeo domain factors	Homeo domain factors
3.674708919141741	WT1	PAX2	C2H2 zinc finger factors	Paired box factors
3.666178297861106	ELK1	SRF	Tryptophan cluster factors	MADS box factors
3.664374893309416	FEZF2	TBR1	C2H2 zinc finger factors	T-Box factors
3.654060667498056	PPARD	PPARG	Nuclear receptors with C4 zinc fingers	Nuclear receptors with C4 zinc fingers
3.649282195331081	IRX4	IRX2	Homeo domain factors	Homeo domain factors
3.6452132702412383	PBX3	PBX2	Homeo domain factors	Homeo domain factors
3.641220048924082	TP53	MYC	p53 domain factors	Basic helix-loop-helix factors (bHLH)
3.6359025136455063	POU4F3	ATOH1	Homeo domain factors	Basic helix-loop-helix factors (bHLH)
3.630615615195058	LBX1	PAX3	Homeo domain factors	Paired box factors
3.6246818095943243	FOXP2	FOXP1	Fork head / winged helix factors	Fork head / winged helix factors
3.6210036148777256	TFAP2A	TFAP2C	Basic helix-span-helix factors (bHSH)	Basic helix-span-helix factors (bHSH)
3.613685937820031	TFEC	TFE3	Basic helix-loop-helix factors (bHLH)	Basic helix-loop-helix factors (bHLH)
3.602715599316233	NR5A1	NR5A2	Nuclear receptors with C4 zinc fingers	Nuclear receptors with C4 zinc fingers
3.5966895614319037	KLF2	KLF4	C2H2 zinc finger factors	C2H2 zinc finger factors
3.5936985617336035	HOXB4	HOXB3	Homeo domain factors	Homeo domain factors
3.5914486963178516	HNF1B	HNF4A	Homeo domain factors	Nuclear receptors with C4 zinc fingers
3.5869008811990355	FOXE1	PAX8	Fork head / winged helix factors	Paired box factors
3.581796452868597	CEBPA	CEBPB	Basic leucine zipper factors (bZIP)	Basic leucine zipper factors (bZIP)
3.5809905545389973	ATF4	ATF6	Basic leucine zipper factors (bZIP)	Basic leucine zipper factors (bZIP)
3.5784785257528204	SOX1	SOX2	High-mobility group (HMG) domain factors	High-mobility group (HMG) domain factors
3.5780071899965655	BCL6	MYC	C2H2 zinc finger factors	Basic helix-loop-helix factors (bHLH)
3.5673141160431077	ELK3	ELK1	Tryptophan cluster factors	Tryptophan cluster factors
3.5632926290574924	PITX3	LMX1B	Homeo domain factors	Homeo domain factors
3.561040497256642	TBX6	MESP2	T-Box factors	Basic helix-loop-helix factors (bHLH)
3.5596784169411237	ZNF582	PAX1	C2H2 zinc finger factors	Paired box factors
3.553346208170694	HOXA10	HOXA11	Homeo domain factors	Homeo domain factors
3.5533302337253594	PRDM1	BCL6	C2H2 zinc finger factors	C2H2 zinc finger factors
3.5506666119058146	SP9	SP8	C2H2 zinc finger factors	C2H2 zinc finger factors
3.5497814514396597	HOXD9	HOXD13	Homeo domain factors	Homeo domain factors
3.5442327341800643	CTCFL	CTCF	C2H2 zinc finger factors	C2H2 zinc finger factors
3.543801406967106	DMRT1	FOXL2	DM-type intertwined zinc finger factors	Fork head / winged helix factors
3.5421894669145226	ELK4	ELK1	Tryptophan cluster factors	Tryptophan cluster factors
3.5350284084220354	NR3C1	NR3C2	Nuclear receptors with C4 zinc fingers	Nuclear receptors with C4 zinc fingers
3.5331747085030543	MYB	NFIB	Tryptophan cluster factors	SMAD/NF-1 DNA-binding domain factors
3.5325295044880245	FOXK1	FOXK2	Fork head / winged helix factors	Fork head / winged helix factors
3.528640869976956	SCX	SOX9	Basic helix-loop-helix factors (bHLH)	High-mobility group (HMG) domain factors
3.5096438937346486	FOXA3	FOXA2	Fork head / winged helix factors	Fork head / winged helix factors
3.506443022846021	SOHLH1	SOHLH2	Basic helix-loop-helix factors (bHLH)	Basic helix-loop-helix factors (bHLH)
3.497825131694446	BACH1	BACH2	Basic leucine zipper factors (bZIP)	Basic leucine zipper factors (bZIP)
3.4937926647582516	NEUROD2	NEUROD1	Basic helix-loop-helix factors (bHLH)	Basic helix-loop-helix factors (bHLH)
3.4898953012077856	TBX1	ISL1	T-Box factors	Homeo domain factors
3.465612371751835	VDR	RXRA	Nuclear receptors with C4 zinc fingers	Nuclear receptors with C4 zinc fingers
3.4637987522523463	RXRB	RXRA	Nuclear receptors with C4 zinc fingers	Nuclear receptors with C4 zinc fingers
3.460003641454622	BATF3	IRF8	Basic leucine zipper factors (bZIP)	Tryptophan cluster factors
3.4545279259389563	BATF	IRF4	Basic leucine zipper factors (bZIP)	Tryptophan cluster factors
3.453488703343373	FOXN4	VSX2	Fork head / winged helix factors	Homeo domain factors
3.443097997056655	IKZF3	IKZF1	C2H2 zinc finger factors	C2H2 zinc finger factors
3.44085095899826	DLX3	DLX5	Homeo domain factors	Homeo domain factors
3.429629866176734	LYL1	TAL1	Basic helix-loop-helix factors (bHLH)	Basic helix-loop-helix factors (bHLH)
3.4205893348980214	DMRT3	DMRT1	DM-type intertwined zinc finger factors	DM-type intertwined zinc finger factors
3.4194532963787836	FOXH1	SMAD2	Fork head / winged helix factors	SMAD/NF-1 DNA-binding domain factors
3.4187305350892756	FOXP4	FOXP1	Fork head / winged helix factors	Fork head / winged helix factors
3.4110037856435347	E2F5	E2F4	Fork head / winged helix factors	Fork head / winged helix factors
3.4060972102524953	ARX	PDX1	Homeo domain factors	Homeo domain factors
3.4001752949934887	TBX18	WT1	T-Box factors	C2H2 zinc finger factors
3.399669969882803	RORC	FOXP3	Nuclear receptors with C4 zinc fingers	Fork head / winged helix factors
3.3969329029898128	TP73	TP53	p53 domain factors	p53 domain factors
3.388463981928191	TEF	DBP	Basic leucine zipper factors (bZIP)	Basic leucine zipper factors (bZIP)
3.3872175510391593	HSF4	HSF2	Heat shock factors	Heat shock factors
3.3839024010268965	TFAP2B	TFAP2A	Basic helix-span-helix factors (bHSH)	Basic helix-span-helix factors (bHSH)
3.3629091513084943	KLF1	BCL11A	C2H2 zinc finger factors	C2H2 zinc finger factors
3.354302668103141	EVX2	HOXD13	Homeo domain factors	Homeo domain factors
3.3522572417785623	OLIG3	OLIG2	Basic helix-loop-helix factors (bHLH)	Basic helix-loop-helix factors (bHLH)
3.3511660586971503	DMRTA2	DMRT3	DM-type intertwined zinc finger factors	DM-type intertwined zinc finger factors
3.331345173060366	ARNTL2	CLOCK	Basic helix-loop-helix factors (bHLH)	Basic helix-loop-helix factors (bHLH)
3.329827495322492	OTP	SIM1	Homeo domain factors	Basic helix-loop-helix factors (bHLH)
3.327043079460661	OVOL1	OVOL2	C2H2 zinc finger factors	C2H2 zinc finger factors
3.3232698777156884	ESRRB	NANOG	Nuclear receptors with C4 zinc fingers	Homeo domain factors
3.3227444485675033	MEOX1	MEOX2	Homeo domain factors	Homeo domain factors
3.319286920976484	IRF6	GRHL3	Tryptophan cluster factors	Grainyhead
3.3187951511693385	MYT1L	MYT1	C2HC	C2HC
3.3183691591036744	POU4F1	POU4F2	Homeo domain factors	Homeo domain factors
3.312022840073267	SATB2	TBR1	Homeo domain factors	T-Box factors
3.3091597368680117	ZIC5	ZIC2	C2H2 zinc finger factors	C2H2 zinc finger factors
3.304603517637958	ETV6	RUNX1	Tryptophan cluster factors	Runt domain factors
3.301160180486752	TP63	TP53	p53 domain factors	p53 domain factors
3.300309325479424	NFIC	NFIA	SMAD/NF-1 DNA-binding domain factors	SMAD/NF-1 DNA-binding domain factors
3.297688164898196	NR2F1	NR2F2	Nuclear receptors with C4 zinc fingers	Nuclear receptors with C4 zinc fingers
3.296345293155431	CEBPD	CEBPB	Basic leucine zipper factors (bZIP)	Basic leucine zipper factors (bZIP)
3.292600449209171	NRF1	NFE2L1	Uncharacterized	Basic leucine zipper factors (bZIP)
3.282696595092788	MYBL1	MYB	Tryptophan cluster factors	Tryptophan cluster factors
3.27782756947172	HLF	TEF	Basic leucine zipper factors (bZIP)	Basic leucine zipper factors (bZIP)
3.27469547574378	MYCL	MYC	Basic helix-loop-helix factors (bHLH)	Basic helix-loop-helix factors (bHLH)
3.273440231503597	TCF4	TCF7L2	Basic helix-loop-helix factors (bHLH)	High-mobility group (HMG) domain factors
3.269231454509436	EBF2	EBF1	Rel homology region (RHR) factors	Rel homology region (RHR) factors
3.267246795486457	CC2D1B	CC2D1A	Uncharacterized	Uncharacterized
3.264105826125371	ZHX1	ZHX2	Homeo domain factors	Homeo domain factors
3.260002545690851	FOXG1	PAX6	Fork head / winged helix factors	Paired box factors
3.254119898437808	DDIT3	XBP1	Basic leucine zipper factors (bZIP)	Basic leucine zipper factors (bZIP)
3.2492511523890713	HOXD3	HOXA3	Homeo domain factors	Homeo domain factors
3.2480962289429915	FOXD1	SIX2	Fork head / winged helix factors	Homeo domain factors
3.2479215875448912	RORA	CLOCK	Nuclear receptors with C4 zinc fingers	Basic helix-loop-helix factors (bHLH)
3.2360288722957686	CEBPE	IKZF1	Basic leucine zipper factors (bZIP)	C2H2 zinc finger factors
